"filename", "language", "JavaScript", "HTML", "CSS", "YAML", "Properties", "JSON", "XML", "comment", "blank", "total"
"/home/michael/Desktop/fastlab-enigma/app/customType.css", "CSS", 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
"/home/michael/Desktop/fastlab-enigma/app/global-styles.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 18, 17, 132
"/home/michael/Desktop/fastlab-enigma/app/i18n.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 10, 8, 52
"/home/michael/Desktop/fastlab-enigma/app/images/Fastlab_LLR.svg", "XML", 0, 0, 0, 0, 0, 0, 55, 1, 1, 57
"/home/michael/Desktop/fastlab-enigma/app/images/Fastlab_LLW.svg", "XML", 0, 0, 0, 0, 0, 0, 44, 1, 1, 46
"/home/michael/Desktop/fastlab-enigma/app/images/Fastlab_LR.svg", "XML", 0, 0, 0, 0, 0, 0, 44, 1, 1, 46
"/home/michael/Desktop/fastlab-enigma/app/images/Fastlab_LW.svg", "XML", 0, 0, 0, 0, 0, 0, 60, 1, 1, 62
"/home/michael/Desktop/fastlab-enigma/app/images/Point_Four.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/michael/Desktop/fastlab-enigma/app/images/Point_One.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/michael/Desktop/fastlab-enigma/app/images/Point_Three.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/michael/Desktop/fastlab-enigma/app/images/Point_Two.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/michael/Desktop/fastlab-enigma/app/images/UoN_White.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"/home/michael/Desktop/fastlab-enigma/app/images/icon-close.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"/home/michael/Desktop/fastlab-enigma/app/images/icon-nav-trigger.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"/home/michael/Desktop/fastlab-enigma/app/images/scribbles_mark-1-white.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/michael/Desktop/fastlab-enigma/app/images/scribbles_mark-2-white.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/michael/Desktop/fastlab-enigma/app/images/scribbles_mark-3-white.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/michael/Desktop/fastlab-enigma/app/images/user.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 1, 1, 12
"/home/michael/Desktop/fastlab-enigma/app/index.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 6, 9, 31
"/home/michael/Desktop/fastlab-enigma/app/reducers.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 6, 7, 31
"/home/michael/Desktop/fastlab-enigma/app/tests/i18n.test.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
